/home/d310/anaconda3/envs/oiqa_rjl/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[train epoch 1/25] loss: 0.517923, plcc: 0.4255, srcc: 0.4206, rmse: 0.5510, lr: 0.000010, time: 8.39 min
[val epoch 12/25] loss: 0.131323, plcc_v: 0.8156, srcc_v: 0.8144, rmse_v: 0.3494, lr: 0.000010, time: 0.74 min
[train epoch 13/25] loss: 0.069773, plcc: 0.9011, srcc: 0.9056, rmse: 0.2640, lr: 0.000010, time: 8.10 min
[val epoch 13/25] loss: 0.125351, plcc_v: 0.8243, srcc_v: 0.8221, rmse_v: 0.3419, lr: 0.000010, time: 0.77 min
[train epoch 14/25] loss: 0.065789, plcc: 0.9071, srcc: 0.9114, rmse: 0.2563, lr: 0.000010, time: 7.87 min
[val epoch 14/25] loss: 0.125222, plcc_v: 0.8148, srcc_v: 0.8135, rmse_v: 0.3501, lr: 0.000010, time: 0.78 min
[train epoch 15/25] loss: 0.063756, plcc: 0.9101, srcc: 0.9139, rmse: 0.2524, lr: 0.000010, time: 8.23 min
[val epoch 15/25] loss: 0.132808, plcc_v: 0.8182, srcc_v: 0.8128, rmse_v: 0.3472, lr: 0.000010, time: 0.77 min
[train epoch 16/25] loss: 0.059429, plcc: 0.9164, srcc: 0.9197, rmse: 0.2437, lr: 0.000010, time: 8.58 min
[val epoch 16/25] loss: 0.143228, plcc_v: 0.8006, srcc_v: 0.7985, rmse_v: 0.3618, lr: 0.000010, time: 0.79 min
[train epoch 17/25] loss: 0.057662, plcc: 0.9190, srcc: 0.9223, rmse: 0.2400, lr: 0.000010, time: 8.44 min
[val epoch 17/25] loss: 0.128515, plcc_v: 0.8073, srcc_v: 0.8028, rmse_v: 0.3563, lr: 0.000010, time: 0.76 min
[train epoch 18/25] loss: 0.055843, plcc: 0.9216, srcc: 0.9257, rmse: 0.2362, lr: 0.000010, time: 8.60 min
[val epoch 18/25] loss: 0.129681, plcc_v: 0.8132, srcc_v: 0.8095, rmse_v: 0.3514, lr: 0.000010, time: 0.78 min
[train epoch 19/25] loss: 0.052030, plcc: 0.9272, srcc: 0.9305, rmse: 0.2280, lr: 0.000010, time: 8.51 min
[val epoch 19/25] loss: 0.146587, plcc_v: 0.8079, srcc_v: 0.8050, rmse_v: 0.3558, lr: 0.000010, time: 0.77 min
[train epoch 20/25] loss: 0.050939, plcc: 0.9288, srcc: 0.9313, rmse: 0.2256, lr: 0.000010, time: 8.42 min
[val epoch 20/25] loss: 0.136278, plcc_v: 0.8036, srcc_v: 0.8029, rmse_v: 0.3593, lr: 0.000010, time: 0.78 min
[train epoch 21/25] loss: 0.047998, plcc: 0.9331, srcc: 0.9360, rmse: 0.2190, lr: 0.000010, time: 8.27 min
[val epoch 21/25] loss: 0.136961, plcc_v: 0.8063, srcc_v: 0.8084, rmse_v: 0.3572, lr: 0.000010, time: 0.76 min
[train epoch 22/25] loss: 0.047256, plcc: 0.9341, srcc: 0.9366, rmse: 0.2173, lr: 0.000010, time: 8.08 min
[val epoch 22/25] loss: 0.130892, plcc_v: 0.8079, srcc_v: 0.8045, rmse_v: 0.3559, lr: 0.000010, time: 0.74 min
[train epoch 23/25] loss: 0.043249, plcc: 0.9399, srcc: 0.9424, rmse: 0.2079, lr: 0.000010, time: 8.07 min
[val epoch 23/25] loss: 0.131302, plcc_v: 0.8057, srcc_v: 0.8033, rmse_v: 0.3576, lr: 0.000010, time: 0.77 min
[train epoch 24/25] loss: 0.042553, plcc: 0.9409, srcc: 0.9437, rmse: 0.2062, lr: 0.000010, time: 8.51 min
[val epoch 24/25] loss: 0.132358, plcc_v: 0.8085, srcc_v: 0.8060, rmse_v: 0.3553, lr: 0.000010, time: 0.78 min
[train epoch 25/25] loss: 0.039580, plcc: 0.9451, srcc: 0.9474, rmse: 0.1989, lr: 0.000010, time: 8.65 min
[val epoch 25/25] loss: 0.139056, plcc_v: 0.7935, srcc_v: 0.7942, rmse_v: 0.3674, lr: 0.000010, time: 0.79 min
