/home/d310/anaconda3/envs/oiqa_rjl/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[train epoch 1/25] loss: 0.442756, plcc: 0.4103, srcc: 0.4009, rmse: 0.5553, lr: 0.000010, time: 48.09 min
[train epoch 15/25] loss: 0.063479, plcc: 0.9105, srcc: 0.9149, rmse: 0.2518, lr: 0.000010, time: 45.56 min
[val epoch 15/25] loss: 0.140360, plcc_v: 0.7916, srcc_v: 0.7921, rmse_v: 0.3689, lr: 0.000010, time: 14.23 min
[train epoch 16/25] loss: 0.060018, plcc: 0.9156, srcc: 0.9192, rmse: 0.2449, lr: 0.000010, time: 47.03 min
[val epoch 16/25] loss: 0.139577, plcc_v: 0.7989, srcc_v: 0.8015, rmse_v: 0.3631, lr: 0.000010, time: 11.55 min
[train epoch 17/25] loss: 0.056323, plcc: 0.9210, srcc: 0.9240, rmse: 0.2372, lr: 0.000010, time: 49.95 min
[val epoch 17/25] loss: 0.130696, plcc_v: 0.8019, srcc_v: 0.8019, rmse_v: 0.3608, lr: 0.000010, time: 9.86 min
[train epoch 18/25] loss: 0.054932, plcc: 0.9230, srcc: 0.9267, rmse: 0.2342, lr: 0.000010, time: 46.55 min
[val epoch 18/25] loss: 0.155118, plcc_v: 0.7911, srcc_v: 0.7928, rmse_v: 0.3693, lr: 0.000010, time: 14.70 min
[train epoch 19/25] loss: 0.049698, plcc: 0.9306, srcc: 0.9334, rmse: 0.2229, lr: 0.000010, time: 47.46 min
[val epoch 19/25] loss: 0.143053, plcc_v: 0.8004, srcc_v: 0.7979, rmse_v: 0.3620, lr: 0.000010, time: 11.45 min
[train epoch 20/25] loss: 0.049030, plcc: 0.9316, srcc: 0.9347, rmse: 0.2213, lr: 0.000010, time: 48.36 min
[val epoch 20/25] loss: 0.141995, plcc_v: 0.7951, srcc_v: 0.7957, rmse_v: 0.3662, lr: 0.000010, time: 11.66 min
[train epoch 21/25] loss: 0.046629, plcc: 0.9350, srcc: 0.9382, rmse: 0.2159, lr: 0.000010, time: 47.03 min
[val epoch 21/25] loss: 0.139500, plcc_v: 0.7983, srcc_v: 0.7983, rmse_v: 0.3636, lr: 0.000010, time: 12.06 min
[train epoch 22/25] loss: 0.044129, plcc: 0.9386, srcc: 0.9416, rmse: 0.2100, lr: 0.000010, time: 43.12 min
[val epoch 22/25] loss: 0.136950, plcc_v: 0.7943, srcc_v: 0.7923, rmse_v: 0.3668, lr: 0.000010, time: 10.23 min
[train epoch 23/25] loss: 0.041681, plcc: 0.9421, srcc: 0.9439, rmse: 0.2041, lr: 0.000010, time: 49.09 min
[val epoch 23/25] loss: 0.140554, plcc_v: 0.7946, srcc_v: 0.7933, rmse_v: 0.3665, lr: 0.000010, time: 12.71 min
[train epoch 24/25] loss: 0.040854, plcc: 0.9433, srcc: 0.9455, rmse: 0.2021, lr: 0.000010, time: 47.10 min
[val epoch 24/25] loss: 0.140906, plcc_v: 0.7897, srcc_v: 0.7913, rmse_v: 0.3704, lr: 0.000010, time: 8.96 min
[train epoch 25/25] loss: 0.037213, plcc: 0.9485, srcc: 0.9507, rmse: 0.1928, lr: 0.000010, time: 46.72 min
[val epoch 25/25] loss: 0.142336, plcc_v: 0.7900, srcc_v: 0.7925, rmse_v: 0.3702, lr: 0.000010, time: 11.37 min
