/home/d310/anaconda3/envs/oiqa_rjl/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[train epoch 1/25] loss: 0.566320, plcc: 0.3025, srcc: 0.2968, rmse: 0.5803, lr: 0.000010, time: 8.12 min
[train epoch 18/25] loss: 0.039832, plcc: 0.9448, srcc: 0.9473, rmse: 0.1995, lr: 0.000010, time: 7.55 min
[val epoch 18/25] loss: 0.161453, plcc_v: 0.7668, srcc_v: 0.7652, rmse_v: 0.3876, lr: 0.000010, time: 0.73 min
[train epoch 19/25] loss: 0.038295, plcc: 0.9470, srcc: 0.9488, rmse: 0.1956, lr: 0.000010, time: 7.69 min
[val epoch 19/25] loss: 0.159736, plcc_v: 0.7743, srcc_v: 0.7726, rmse_v: 0.3821, lr: 0.000010, time: 0.73 min
[train epoch 20/25] loss: 0.034045, plcc: 0.9530, srcc: 0.9547, rmse: 0.1845, lr: 0.000010, time: 7.71 min
[val epoch 20/25] loss: 0.161337, plcc_v: 0.7595, srcc_v: 0.7610, rmse_v: 0.3927, lr: 0.000010, time: 0.74 min
[train epoch 21/25] loss: 0.034116, plcc: 0.9529, srcc: 0.9547, rmse: 0.1847, lr: 0.000010, time: 7.83 min
[val epoch 21/25] loss: 0.157804, plcc_v: 0.7640, srcc_v: 0.7649, rmse_v: 0.3895, lr: 0.000010, time: 0.72 min
[train epoch 22/25] loss: 0.031935, plcc: 0.9560, srcc: 0.9578, rmse: 0.1787, lr: 0.000010, time: 7.66 min
[val epoch 22/25] loss: 0.161444, plcc_v: 0.7595, srcc_v: 0.7619, rmse_v: 0.3927, lr: 0.000010, time: 0.74 min
[train epoch 23/25] loss: 0.030512, plcc: 0.9580, srcc: 0.9597, rmse: 0.1747, lr: 0.000010, time: 7.53 min
[val epoch 23/25] loss: 0.153735, plcc_v: 0.7643, srcc_v: 0.7661, rmse_v: 0.3893, lr: 0.000010, time: 0.74 min
[train epoch 24/25] loss: 0.028761, plcc: 0.9604, srcc: 0.9618, rmse: 0.1696, lr: 0.000010, time: 7.61 min
[val epoch 24/25] loss: 0.154078, plcc_v: 0.7685, srcc_v: 0.7689, rmse_v: 0.3864, lr: 0.000010, time: 0.74 min
[train epoch 25/25] loss: 0.027830, plcc: 0.9617, srcc: 0.9633, rmse: 0.1668, lr: 0.000010, time: 7.70 min
[val epoch 25/25] loss: 0.155816, plcc_v: 0.7657, srcc_v: 0.7663, rmse_v: 0.3883, lr: 0.000010, time: 0.72 min
